Language,Video ID,Controversial Topics (LLM),Derogatory Words (LLM),Derogatory Words (dictionary),Person names,Transcript word count,Transcript unique word count,Transcript non-stopword count,Transcript unique non-stop word count
ta,-Cyq0XfvlkQ,None,டெல்லி காாரி,None,"[('அத்தா', 'hindu', 'male'), ('ரம்யா', 'hindu', 'female'), ('அத்த', 'hindu', 'male'), ('தங்கச்சி', 'hindu', 'female'), ('மனோகரன்', 'hindu', 'male'), ('சித்தி', 'hindu', 'female'), ('சிவகாமி', 'hindu', 'female'), ('மூதேவி', 'hindu', 'female'), ('ரேவதி', 'hindu', 'female'), ('அக்கா', 'hindu', 'female'), ('அண்ணே', 'hindu', 'male'), ('சகனம்', 'hindu', 'male'), ('பூனை', 'hindu', 'male'), ('மாமா', 'hindu', 'male')]",2178,1246,1719,1138
ta,-UCf1bES8I4,None,None,None,"[('குறவி ரொட்டி', 'hindu', 'male'), ('அம்மா', 'hindu', 'female'), ('வீரபாண்டி', 'hindu', 'male'), ('மாரி', 'hindu', 'male'), ('சகல', 'hindu', 'male'), ('மகேஸ்வரி', 'hindu', 'female'), ('கீர்த்தி', 'hindu', 'female'), ('செல்வம்', 'hindu', 'male'), ('ஜெயந்தி', 'hindu', 'female'), ('புற்று முட்டாள்', 'hindu', 'male'), ('நாகராஜ்', 'hindu', 'male'), ('மாமா', 'hindu', 'male')]",1438,798,1010,710
ta,-k4kIzkUS2g,None,யாருடா நிமா,None,"[('யோ', 'hindu', 'male'), ('ஓ ம காட்', 'hindu', 'male'), ('ராணி', 'hindu', 'female'), ('ஐயோ', 'hindu', 'male'), ('சூர்யா', 'hindu', 'male'), ('டிம்பிள்', 'hindu', 'female'), ('கலாண்டேஸ்வரி', 'hindu', 'female'), ('சாமி', 'hindu', 'male'), ('அண்ணா', 'hindu', 'male'), ('தம்பி', 'hindu', 'male'), ('பூமி சார்', 'hindu', 'male'), ('பிரியா', 'hindu', 'female'), ('அண்ணி', 'hindu', 'female'), ('சித்தி', 'hindu', 'female'), ('சுதாகர்', 'hindu', 'male'), ('தனியன்', 'hindu', 'male'), ('டாடி', 'hindu', 'male'), ('ரியா', 'hindu', 'female'), ('சித்தப்பா', 'hindu', 'male'), ('சார்', 'hindu', 'male'), ('அம்மா', 'hindu', 'female'), ('நிமா', 'hindu', 'female'), ('அக்கா', 'hindu', 'female'), ('அகிலாண்டேஸ்வரி', 'hindu', 'female'), ('ஆண்டி', 'hindu', 'male')]",1533,854,1066,760
ta,-kLVg0UqQYs,None,420,None,"[('அம்மா', 'hindu', 'female'), ('மாப்பிள்ளை', 'hindu', 'male'), ('ஜி', 'hindu', 'male'), ('மீரா', 'hindu', 'female'), ('பெரியப்பா', 'hindu', 'male'), ('அப்பா', 'hindu', 'male'), ('ஆஜா', 'hindu', 'female'), ('மாப்பிள்ளையோட அம்மா', 'hindu', 'female'), ('மாப்பிள்ளையோட அத்தை', 'hindu', 'female'), ('சந்தோஷ்', 'hindu', 'male'), ('போலீஸ்', 'hindu', 'male'), ('யமுனா', 'hindu', 'female'), ('பிரீத்தி', 'hindu', 'female'), ('மாமா', 'hindu', 'male'), ('சித்தப்பா', 'hindu', 'male')]",1081,633,747,554
ta,075QSLCCTcs,None,None,None,"[('பாலு', 'hindu', 'male'), ('சாட்சி', 'hindu', 'male'), ('ரோஜா', 'hindu', 'female'), ('குழந்தை', 'hindu', 'male'), ('அர்ஜுன்', 'hindu', 'male'), ('மல்லிகா', 'hindu', 'female')]",1606,844,1107,734
ta,0SGowRqXANI,None,None,None,"[('அம்மா', 'hindu', 'female'), ('ஸ்வேதா', 'hindu', 'female'), ('சுலட்சனா', 'hindu', 'female'), ('கோபி', 'hindu', 'male'), ('நந்து', 'hindu', 'male'), ('அனுஷயா', 'hindu', 'female'), ('அப்பா', 'hindu', 'male'), ('சிவகாமி', 'hindu', 'female'), ('பலராமன்', 'hindu', 'male'), ('கலா', 'hindu', 'female'), ('சகந்தலா', 'hindu', 'female'), ('சண்முகம்', 'hindu', 'male'), ('வளராமன்', 'hindu', 'male')]",2051,1125,1534,1027
ta,0kWFAutKYuc,None,None,None,"[('சின்ராசன்', 'hindu', 'male'), ('துளசி', 'hindu', 'female'), ('தங்கை', 'hindu', 'female'), ('தாயார்', 'hindu', 'female'), ('அங்காளம்மாள்', 'hindu', 'female'), ('புவனேஸ்வரி', 'hindu', 'female'), ('வல்லி', 'hindu', 'female'), ('பத்ர காளி', 'hindu', 'female'), ('கண்ணியம்மாள்', 'hindu', 'female'), ('ராஜக்காரன்', 'hindu', 'male'), ('ஜகதீஸ்வரி', 'hindu', 'female'), ('முத்துமாரி', 'hindu', 'female'), ('புர்ணிமா', 'hindu', 'female'), ('கோமதி', 'hindu', 'female'), ('பரமேஸ்வரி', 'hindu', 'female'), ('அம்மா', 'hindu', 'female'), ('மாரி', 'hindu', 'male'), ('அண்ணன்', 'hindu', 'male'), ('ராஜேஸ்வரி', 'hindu', 'female'), ('ராஜபாண்டி', 'hindu', 'male')]",1140,676,838,602
ta,0uj6pXRATZQ,None,None,None,"[('சோபா', 'hindu', 'female'), ('போட்டி', 'hindu', 'male'), ('ஸ்கவாட்', 'hindu', 'male'), ('கூல்', 'hindu', 'male'), ('ரிலாக்ஸ்', 'hindu', 'male'), ('பாம்', 'hindu', 'male'), ('விதிமுறைகள்', 'hindu', 'male'), ('அணு', 'hindu', 'female'), ('ரோஜா', 'hindu', 'female'), ('நவீன்', 'hindu', 'male'), ('ஷேர்', 'hindu', 'male'), ('ரிமோட்', 'hindu', 'male'), ('சாக்சி', 'hindu', 'female'), ('சப்ஸ்கிரைப்', 'hindu', 'male'), ('பூஜா', 'hindu', 'female'), ('லாக்கெட்', 'hindu', 'male'), ('யாரு', 'hindu', 'male'), ('பரிசுகள்', 'hindu', 'male'), ('பாலு', 'hindu', 'male'), ('கொல வெறி', 'hindu', 'male'), ('நக்சலைட்', 'hindu', 'male'), ('அத்த', 'hindu', 'male'), ('கமெண்ட்', 'hindu', 'male'), ('செண்பகம்', 'hindu', 'female'), ('ஜெயில்', 'hindu', 'male'), ('மாமா', 'hindu', 'male'), ('மண்டபம்', 'hindu', 'male'), ('லைக்', 'hindu', 'male'), ('விமர்சனம்', 'hindu', 'male'), ('அர்ஜுன்', 'hindu', 'male'), ('டீம்', 'hindu', 'male')]",1579,845,1135,743
ta,0xIpg2KmYHM,None,None,None,"[('சாந்தமூர்த்தி', 'hindu', 'male'), ('கணேஷ்', 'hindu', 'male'), ('ரோஜா', 'hindu', 'female'), ('அனு', 'hindu', 'female'), ('தாத்தா', 'hindu', 'male'), ('அர்ஜுன்', 'hindu', 'male'), ('குல்பி', 'hindu', 'male'), ('பாட்டி', 'hindu', 'female'), ('ஜூஸ்', 'hindu', 'male'), ('நவீன்', 'hindu', 'male'), ('ஜோசியர்', 'hindu', 'male'), ('பல்லாவா', 'hindu', 'male'), ('மலர் கௌசிக்', 'hindu', 'female')]",1617,833,1159,752
ta,12P8aWW6yqw,None,None,None,"[('அபி', 'hindu', 'female'), ('அத்தே', 'hindu', 'female'), ('ஹம்சா', 'hindu', 'male'), ('ஹாஸ்பிடல்', 'hindu', 'male'), ('ஐயா', 'hindu', 'male'), ('மீனா', 'hindu', 'female'), ('ஸ்கூல்', 'hindu', 'male'), ('பத்யகிரி', 'hindu', 'male'), ('ஆன்டி', 'hindu', 'female'), ('அபிஷேக்', 'hindu', 'male'), ('அம்மா', 'hindu', 'female'), ('டாக்டர்', 'hindu', 'male'), ('வைரம்', 'hindu', 'male'), ('ரகு', 'hindu', 'male'), ('முகில்', 'hindu', 'male'), ('ஈஸ்வரன்', 'hindu', 'male'), ('கிரி', 'hindu', 'male'), ('கஸ்தூரி அம்மா', 'hindu', 'female'), ('விஷேக்', 'hindu', 'male')]",1978,1023,1445,925
